iso3,metric,household,earnings,value,year,source
FRA,tax_to_gdp_pct,,,43.462209,2024,"OECD Revenue Statistics (comparative, % of GDP)"
GBR,tax_to_gdp_pct,,,34.366806,2024,"OECD Revenue Statistics (comparative, % of GDP)"
GRC,tax_to_gdp_pct,,,39.826849,2024,"OECD Revenue Statistics (comparative, % of GDP)"
HUN,tax_to_gdp_pct,,,34.353895,2024,"OECD Revenue Statistics (comparative, % of GDP)"
IRL,tax_to_gdp_pct,,,21.694294,2024,"OECD Revenue Statistics (comparative, % of GDP)"
ISL,tax_to_gdp_pct,,,36.948753,2024,"OECD Revenue Statistics (comparative, % of GDP)"
ITA,tax_to_gdp_pct,,,42.752192,2024,"OECD Revenue Statistics (comparative, % of GDP)"
LTU,tax_to_gdp_pct,,,33.129851,2024,"OECD Revenue Statistics (comparative, % of GDP)"
LUX,tax_to_gdp_pct,,,41.458699,2024,"OECD Revenue Statistics (comparative, % of GDP)"
LVA,tax_to_gdp_pct,,,34.90567,2024,"OECD Revenue Statistics (comparative, % of GDP)"
NLD,tax_to_gdp_pct,,,38.541274,2024,"OECD Revenue Statistics (comparative, % of GDP)"
NOR,tax_to_gdp_pct,,,40.190578,2024,"OECD Revenue Statistics (comparative, % of GDP)"
POL,tax_to_gdp_pct,,,36.64229,2024,"OECD Revenue Statistics (comparative, % of GDP)"
PRT,tax_to_gdp_pct,,,35.134621,2024,"OECD Revenue Statistics (comparative, % of GDP)"
SVK,tax_to_gdp_pct,,,35.551369,2024,"OECD Revenue Statistics (comparative, % of GDP)"
SVN,tax_to_gdp_pct,,,38.296929,2024,"OECD Revenue Statistics (comparative, % of GDP)"
SWE,tax_to_gdp_pct,,,41.437904,2024,"OECD Revenue Statistics (comparative, % of GDP)"
USA,tax_to_gdp_pct,,,25.618333,2024,"OECD Revenue Statistics (comparative, % of GDP)"
AUT,tax_wedge_pct,couple2kids_1earner,100aw,32.312117,2024,OECD Taxing Wages (comparative)
BEL,tax_wedge_pct,couple2kids_1earner,100aw,36.694245,2024,OECD Taxing Wages (comparative)
CHE,tax_wedge_pct,couple2kids_1earner,100aw,11.097537,2024,OECD Taxing Wages (comparative)
CZE,tax_wedge_pct,couple2kids_1earner,100aw,31.08435,2024,OECD Taxing Wages (comparative)
DEU,tax_wedge_pct,couple2kids_1earner,100aw,33.29176,2024,OECD Taxing Wages (comparative)
DNK,tax_wedge_pct,couple2kids_1earner,100aw,27.083448,2024,OECD Taxing Wages (comparative)
ESP,tax_wedge_pct,couple2kids_1earner,100aw,36.348784,2024,OECD Taxing Wages (comparative)
EST,tax_wedge_pct,couple2kids_1earner,100aw,34.744179,2024,OECD Taxing Wages (comparative)
FIN,tax_wedge_pct,couple2kids_1earner,100aw,38.42358,2024,OECD Taxing Wages (comparative)
FRA,tax_wedge_pct,couple2kids_1earner,100aw,39.088825,2024,OECD Taxing Wages (comparative)
GBR,tax_wedge_pct,couple2kids_1earner,100aw,26.146832,2024,OECD Taxing Wages (comparative)
GRC,tax_wedge_pct,couple2kids_1earner,100aw,37.57892,2024,OECD Taxing Wages (comparative)
HUN,tax_wedge_pct,couple2kids_1earner,100aw,32.029753,2024,OECD Taxing Wages (comparative)
IRL,tax_wedge_pct,couple2kids_1earner,100aw,19.551349,2024,OECD Taxing Wages (comparative)
ISL,tax_wedge_pct,couple2kids_1earner,100aw,19.312579,2024,OECD Taxing Wages (comparative)
ITA,tax_wedge_pct,couple2kids_1earner,100aw,35.151721,2024,OECD Taxing Wages (comparative)
LTU,tax_wedge_pct,couple2kids_1earner,100aw,25.542982,2024,OECD Taxing Wages (comparative)
LUX,tax_wedge_pct,couple2kids_1earner,100aw,20.011877,2024,OECD Taxing Wages (comparative)
LVA,tax_wedge_pct,couple2kids_1earner,100aw,31.8644,2024,OECD Taxing Wages (comparative)
NLD,tax_wedge_pct,couple2kids_1earner,100aw,28.156116,2024,OECD Taxing Wages (comparative)
NOR,tax_wedge_pct,couple2kids_1earner,100aw,32.289306,2024,OECD Taxing Wages (comparative)
POL,tax_wedge_pct,couple2kids_1earner,100aw,11.890349,2024,OECD Taxing Wages (comparative)
PRT,tax_wedge_pct,couple2kids_1earner,100aw,27.407338,2024,OECD Taxing Wages (comparative)
SVK,tax_wedge_pct,couple2kids_1earner,100aw,18.666056,2024,OECD Taxing Wages (comparative)
SVN,tax_wedge_pct,couple2kids_1earner,100aw,32.363961,2024,OECD Taxing Wages (comparative)
SWE,tax_wedge_pct,couple2kids_1earner,100aw,37.027704,2024,OECD Taxing Wages (comparative)
USA,tax_wedge_pct,couple2kids_1earner,100aw,20.078194,2024,OECD Taxing Wages (comparative)
AUT,tax_wedge_pct,single_nokids,100aw,46.799764,2024,OECD Taxing Wages (comparative)
BEL,tax_wedge_pct,single_nokids,100aw,52.399478,2024,OECD Taxing Wages (comparative)
CHE,tax_wedge_pct,single_nokids,100aw,22.955265,2024,OECD Taxing Wages (comparative)
CZE,tax_wedge_pct,single_nokids,100aw,40.95905,2024,OECD Taxing Wages (comparative)
DEU,tax_wedge_pct,single_nokids,100aw,47.926033,2024,OECD Taxing Wages (comparative)
DNK,tax_wedge_pct,single_nokids,100aw,36.170941,2024,OECD Taxing Wages (comparative)
ESP,tax_wedge_pct,single_nokids,100aw,41.136398,2024,OECD Taxing Wages (comparative)
EST,tax_wedge_pct,single_nokids,100aw,40.68871,2024,OECD Taxing Wages (comparative)
FIN,tax_wedge_pct,single_nokids,100aw,42.133397,2024,OECD Taxing Wages (comparative)
FRA,tax_wedge_pct,single_nokids,100aw,47.119428,2024,OECD Taxing Wages (comparative)
GBR,tax_wedge_pct,single_nokids,100aw,29.931677,2024,OECD Taxing Wages (comparative)
GRC,tax_wedge_pct,single_nokids,100aw,39.499068,2024,OECD Taxing Wages (comparative)
HUN,tax_wedge_pct,single_nokids,100aw,41.150442,2024,OECD Taxing Wages (comparative)
IRL,tax_wedge_pct,single_nokids,100aw,33.262234,2024,OECD Taxing Wages (comparative)
ISL,tax_wedge_pct,single_nokids,100aw,31.561991,2024,OECD Taxing Wages (comparative)
ITA,tax_wedge_pct,single_nokids,100aw,46.962943,2024,OECD Taxing Wages (comparative)
LTU,tax_wedge_pct,single_nokids,100aw,39.417385,2024,OECD Taxing Wages (comparative)
LUX,tax_wedge_pct,single_nokids,100aw,39.92337,2024,OECD Taxing Wages (comparative)
